product_a,product_b,compatibility,confidence,risk_tier,notes,recommendation
SP001,SP003,compatible,0.94,low,Both work at compatible pH ranges. Enzymatic odor shield complements the surfactant clean. Apply Clean Pro first then Odor Shield as a rinse.,Use together for best odor control results.
SP001,SP005,compatible,0.89,low,Standard shampoo-then-conditioner protocol. Clean Pro cleanses the coat before Coat Shine conditions.,Apply Clean Pro first. Rinse fully. Then apply Coat Shine.
SP001,SP006,compatible,0.96,low,Paw Care after a full bath with Clean Pro is standard protocol. Different product categories with no interaction.,Use Paw Care after drying to protect cleaned pads.
SP001,SP009,compatible,0.88,low,Dry foam for between baths and Clean Pro for full bath sessions. No cross-contamination risk.,Use separately - Dry Foam between baths only.
SP002,SP005,compatible,0.93,low,Both gentle pH-balanced products. Gentle Care shampoo followed by Coat Shine is a safe combination for sensitive coats.,Safe for sensitive-skin dogs. Rinse Gentle Care fully before applying Coat Shine.
SP002,SP010,compatible,0.91,low,Both are hypoallergenic-friendly minimal formulas. Can be used together for dogs with both sensitivity and allergy conditions.,Recommended combination for highly sensitive animals.
SP002,SP006,compatible,0.95,low,Gentle Care for body bathing followed by Paw Care is a gentle all-over routine.,Ideal routine for sensitive-skin dogs.
SP001,SP004,incompatible,0.92,elevated,pH conflict between Clean Pro (6.5-7.0) and Flea Guard (5.0-5.5) may denature Flea Guard active ingredient (pyrethrin). Surfactants in Clean Pro reduce pyrethrin contact efficacy by up to 60%.,Do NOT combine. Wait 48h between Flea Guard application and any shampoo use.
SP003,SP004,caution,0.85,elevated,Enzymatic blend in Odor Shield may partially deactivate pyrethrin in Flea Guard. Reduced anti-parasitic efficacy likely.,Separate by at least 48 hours. Apply Flea Guard first. Wait 48h. Then use Odor Shield if needed.
SP007,SP004,incompatible,0.97,elevated,Flea Guard contains pyrethrin which is UNSAFE for puppies. This combination is categorically prohibited regardless of application order.,NEVER use Flea Guard on puppies under 12 months. No exceptions.
SP007,SP008,incompatible,0.95,elevated,Deep Clean anionic surfactants at pH 8.0-8.5 are far too harsh for puppy skin (optimal pH 5.5-6.5). Risk of skin barrier disruption.,NEVER use Deep Clean on puppies. Use SynPet Puppy Fresh only.
SP008,SP005,caution,0.78,elevated,Deep Clean high pH (8.0-8.5) may interfere with Coat Shine silicone quat conditioning efficiency. Coat may feel less conditioned.,Use Deep Clean only when degreasing is essential. Rinse extremely thoroughly before applying Coat Shine.
SP004,SP010,caution,0.81,elevated,Pyrethrin in Flea Guard combined with a minimal hypoallergenic formula may trigger skin reaction in allergy-prone animals.,Consult veterinarian before using Flea Guard on a pet already on Sensitive Plus. Monitor skin reaction closely.
SP005,SP006,compatible,0.90,low,Coat conditioner and paw care are complementary products targeting different body areas. No interaction.,Apply Coat Shine to coat. Apply Paw Care to pads. Safe routine.
SP009,SP006,compatible,0.87,low,Dry foam for coat and Paw Care for pads are complementary products.,Use together for quick between-bath maintenance.
