product_id,name,category,target_animal,age_group,condition,purpose,active_ingredients,ph_min,ph_max,description,caution
SP001,SynPet Clean Pro,Shampoo,Dog,Adult,Healthy,General cleaning and odor removal,Surfactant blend + aloe vera,6.5,7.0,Professional-strength pet shampoo for regular bathing of adult dogs. Removes dirt and mild odors effectively.,None
SP002,SynPet Gentle Care,Shampoo,Dog|Cat,All,Sensitive skin,Gentle daily cleaning,Mild amphoterics + oat extract,5.5,6.0,Ultra-mild shampoo for pets with sensitive skin or coat conditions. Fragrance-light and dermatologist reviewed.,None
SP003,SynPet Odor Shield,Cleanser,Dog,Adult,Healthy,Strong odor elimination,Enzymatic blend + zinc ricinoleate,7.0,7.5,Enzymatic odor-neutralizing cleanser for dogs with persistent odor problems. Works on skunk and organic odors.,None
SP004,SynPet Flea Guard,Medicated,Dog|Cat,Adult,Parasite infestation,Flea and tick control,Pyrethrin 0.05% (DEET-free),5.0,5.5,Veterinarian-recommended anti-parasitic cleanser. Controls fleas and ticks on contact. Use with professional guidance.,Do not combine with other active-ingredient products without veterinary guidance. Not for puppies.
SP005,SynPet Coat Shine,Conditioner,Dog,Adult,Long or curly coat,Conditioning and detangling,Silicone quat + panthenol,4.5,5.0,Leave-in or rinse-out coat conditioner for dogs with long or curly coats. Reduces tangles and adds shine.,None
SP006,SynPet Paw Care,Topical,All,All,Healthy,Paw cleaning and protection,Glycerin + allantoin,5.5,6.5,Gentle paw and pad cleaner that removes dirt and environmental debris. Leaves pads moisturized and protected.,None
SP007,SynPet Puppy Fresh,Shampoo,Dog,Puppy (under 12 months),Healthy,Gentle puppy bathing,Ultra-mild glucosides,6.0,6.5,Tear-free ultra-gentle formula specifically designed for puppies under 12 months. pH-balanced for developing skin.,CAUTION: Do not combine with medicated or harsh cleaning products. Not suitable for cats.
SP008,SynPet Deep Clean,Cleanser,Dog,Adult,Heavily soiled or working,Deep cleaning and degreasing,Anionic surfactants,8.0,8.5,Heavy-duty degreasing cleanser for working dogs and heavily soiled coats. Removes oils and industrial residues.,High pH - always follow with conditioner. Not for sensitive or puppy skin.
SP009,SynPet Dry Foam,Waterless,All,All,Healthy,Waterless quick freshen,Isopropyl alcohol 3% + fragrance,6.0,7.0,Waterless foam cleanser for quick freshen between baths. No rinsing required. Leaves coat lightly fragranced.,Flammable. Do not use near heat sources. External use only.
SP010,SynPet Sensitive Plus,Hypoallergenic,All,All,Allergy or dermatological condition,Allergen-free cleaning,Minimal formula (fragrance-free),5.5,6.0,Hypoallergenic formula for pets with diagnosed allergies or dermatological conditions. Developed with veterinary dermatologists.,Patch test recommended for new users.
